"","filename","sentence","index","date","title","publication","filepath"
"1","kemi_extracted_1.txt","                        After Dele Giwa, Dan Bello Takes the Stage -By Sale Rusulana Yanguruza",1,2024-08-14,"After Dele Giwa, Dan Bello Takes the Stage -By Sale Rusulana Yanguruza","    Opinion Nigeria          Opinion Nigeria","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/kemi_extracted_1.txt"
"2","kemi_extracted_1.txt","   After Dele Giwa, Dan Bello Takes the Stage -By Sale Rusulana Yanguruza",1,2024-08-14,"After Dele Giwa, Dan Bello Takes the Stage -By Sale Rusulana Yanguruza","    Opinion Nigeria          Opinion Nigeria","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/kemi_extracted_1.txt"
"3","kemi_extracted_1.txt","                                                            Opinion Nigeria",1,2024-08-14,"After Dele Giwa, Dan Bello Takes the Stage -By Sale Rusulana Yanguruza","    Opinion Nigeria          Opinion Nigeria","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/kemi_extracted_1.txt"
"4","kemi_extracted_1.txt","                                                    August 14, 2024 Wednesday",1,2024-08-14,"After Dele Giwa, Dan Bello Takes the Stage -By Sale Rusulana Yanguruza","    Opinion Nigeria          Opinion Nigeria","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/kemi_extracted_1.txt"
"5","kemi_extracted_1.txt","Copyright 2024 Opinion Nigeria Provided by Syndigate Media Inc. All Rights Reserved",1,2024-08-14,"After Dele Giwa, Dan Bello Takes the Stage -By Sale Rusulana Yanguruza","    Opinion Nigeria          Opinion Nigeria","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/kemi_extracted_1.txt"
"6","kemi_extracted_1.txt","Length: 865 words",1,2024-08-14,"After Dele Giwa, Dan Bello Takes the Stage -By Sale Rusulana Yanguruza","    Opinion Nigeria          Opinion Nigeria","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/kemi_extracted_1.txt"
"7","kemi_extracted_1.txt","Byline: Opinion Nigeria",1,2024-08-14,"After Dele Giwa, Dan Bello Takes the Stage -By Sale Rusulana Yanguruza","    Opinion Nigeria          Opinion Nigeria","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/kemi_extracted_1.txt"
"8","kemi_extracted_1.txt","Body",1,2024-08-14,"After Dele Giwa, Dan Bello Takes the Stage -By Sale Rusulana Yanguruza","    Opinion Nigeria          Opinion Nigeria","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/kemi_extracted_1.txt"
"9","kemi_extracted_1.txt","""Shine a light on darkness."" -Carl BernsteinIndeed, in a democratic system of government, shining a light on",1,2024-08-14,"After Dele Giwa, Dan Bello Takes the Stage -By Sale Rusulana Yanguruza","    Opinion Nigeria          Opinion Nigeria","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/kemi_extracted_1.txt"
"10","kemi_extracted_1.txt","darkness is crucial and paramount because it helps hold authorities accountable to the public and ensures that",1,2024-08-14,"After Dele Giwa, Dan Bello Takes the Stage -By Sale Rusulana Yanguruza","    Opinion Nigeria          Opinion Nigeria","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/kemi_extracted_1.txt"
"11","kemi_extracted_1.txt","citizens resources are being utilized.The recent expose by young investigative journalist Dan Bello Galadanci,",1,2024-08-14,"After Dele Giwa, Dan Bello Takes the Stage -By Sale Rusulana Yanguruza","    Opinion Nigeria          Opinion Nigeria","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/kemi_extracted_1.txt"
