article_id,newspaper_name,edition,date,page,headline,byline,article
20_1847-12-29_pNone_sn83030313_00271742964_1847122901_0745,The New York herald.,01,1847-12-29,pNone,City Iuteiitxenee.,,"The wgArHEa.-Ysstesd.y = cod dE--s- ~
pleasant day The clouds ~sre loEering A. sLF We
every appearance of q storm


FisE.-A ere broke out abou. 4 oi-lock yss.s--Iy
EnnrniuZ in the house No l59 Leonard s.--s. j. vas
extinsuis1ed with trifpg damage


ANorHER-A fra broke out at IL O'Clock yestsr day.
30 the No Lewis street which was aso pat out
with e damage. There a false alarm a, 9 o'clock
yest-rdaY afternoon


A NEW OrFtcER.-Passing through the Park yester-
day afternoon discovered Newspaper reporter con-
vpyinx the Office of the Chief of Police old negro
Al. very much under the influence OF grog and q
little whit. girl about twelve of both Of whom
he had arrested suspicion Of stealing silver spoons
which he fouud them trying to pledge near by, In
Chatham street The fellow had no starr but
marched up boldly with his prisoners with all the pride
q modern policeman. He delivered over his prison
TO the Chief when the old woman locked up,


aud the little gr taken by of the regular corps to
search for her parents This knight of the quill then
left. pleased gith his success, and started towards
Chatham street, doubtless with view to make other
conQuests


QUEER CASE SUICIDE Coroner Walters was
called yesterday bold an inquest at the city Hospital
the body of Patrick Lynch native of Ireland azed
90 YEARS who TO his death by Inflammation Of the
abdomen, produced by wound io1cted by himself
Prom the evidence adduced before the coroner 1t ap
7sarea that ,hs deceased for imaginary
other bcams much eKasperated with soms members OF
his family and seized large carving Bniie with the in
tonton uf committing murderous assault upon them,
but, suspeong his designs, they escaped out of his
reach vhereupon he ed the knife upon himself and
Inflicted wound la the abomeu, which resulted as be-
fore stated. Verdict accordingly"
27_1847-06-12_p2_sn86058890_00296029828_1847061201_0031,Tri-weekly journal.,01,1847-06-12,p2,,,"Apetition to the Michigan Legislature, asking leave
for the petitioners marry more than one wife, if they
chose, was referred TO the committee on fHsrH IN
prOUements. Ittf
A volunteer who has returned from the Mexican
war, says-""I have seen the elephant, trunk, tusks,
and all, and am more than satisfied went out
Polk soldier, and return Taylor Whig.""
Gen. Drongoole Is said to have left his whole es
tate-very large-to the children Of Dugger whom
he killed in duel t. -t.l..-g


The Tories oppose Gen. Taylor because he is mil
irary cheftain. The fox who lost his tail went his
death against all TAILS,


Col. Campbells Tennessee Regimen, went to the
wars with 500 men, and returns with $780,
4 Victorines is the name of the new two shilling sl
yer coin in England Mr. Polk ought to get up tro
cent copper coin and call them Polkinss for that is
about the value Of his administrators 10 his coun-
try.


They ate 1000 bushels of strawberries at Cincinnati
last year.


New York papers, show that the number of foreign i'm
migrants arrived at that port during last week alone
amounted to 7,641.
The citizens Of Alexandria are about to present
splendid sword to Lieut. Col CHIIps Of ihe United
States Army, testimonial of their admiration Of
his gallant conduct in Mexico. Col. G. was formerly
citizen of Alexandra.


DEBTS OF THE STATEs,-The total amount Of the
debts ofthe several States in the Unon according to-
the American Almanac, compiled from official re-
turns, is 1924 O23, ,s27.-


Ii is estimated that the receipts ofFIour Wheat and
Corn, at Troy and Albany during the month Of May,
were as follows: Flour, 900 barrels Wheat 24O.-
900 bushels; Corn, 100000 bushels


3rPresident Polk and his family returned to Wash
ington ID. c., from visit to his native State, Sat
urday the 4th inst.


There were 347 deaths in the city of New York last
week Ofthis number l35 were children. Ofthe adults
45were victims Of consumption, and SO of typhoid,
typhus and other fevers. r


STEAMBOAT AccIDENT-The ST. Louis Reveille of
last Wednesday, says that the steamer Red Wing, On
Saturday night week, collapsed lue near Rock Is
land scalding five persons three of them dangerously
The Red wing at the last dates, lay at RSek Island
waiting for repairs.


GEN. DUNCAN l. LCLYNcH.-There is every probability
that this true Wing, chivalrc officer and estimablc





our n1endr in Georgiu Cor tho afoe Of Covssnss- II
nominated, his election is certain.


A New York letter in the Philadelphia Inquirer,
written on the Bird inst, says;--


The frigate NIacedoniun 10 ioaded tn iha MA
ter's edge with provisions for Ireland large een-
sgnmont of freight arrived here yesterday Tor her, bat
Commodore Mckay reluctantly obliged 10 refuse
it. She will sail positively tomorrow o. the nsxi
day.


VALUE OF NEwsPAPERs.-The New YO5k
correspondent ofthe Charleston Courier, thus
gossips about the value of different newspaper
establishments at the East; rI.t.
. Notwithstanding the many newspaper fail
ures which we have witnessed in our city, the
value of well established newspaper property
is very great. We had few years ago pre-
yailing mania for types and paper, which,
while it lasted used upa considerable amount
of floating cash. 1t went out few years ago,
and the last new daily established was, think,
the Telegraph. which lived about two years.
This mania has now run into Sunday publish
ing, there being now five or six Sunday papers,
and two or three more projected. The old Sun
day papers, Atlas, Mercury and Times, are do
ing well-the Atlas probably devides forty dol
lars per week 20 each ofits proprletors, and the
Mercury nearly as much. Bull was led to
speak OF the value of newspaper property, by
hearing of the sale of one-half of the Boston At
las, by Mr.. Hayden, to Colonel Schouler, ofthe
Lowell Courier, for about S35, ,000. The Atlas
is one of the best papers in Boston, and is lib
orally patronized; but probably the most profit
able paper is the Daily Advertiser, which has
very large advertising patronage. 1t is con-
sidered worth $4,000, and $4,000 it is said
has been refused for half of it. The Boston
Post is also valuable paper, even the Wings
not being able to resist the bonhomnie of Colo
mel Green, and give it liberal support. Here
the Courier establishment is probably as valua-
bic as any, although the Journal of Commerce
runs it closely, and the Sun and Tribune prob
ably make quite as much money. One-third
of the Courier was sold few months since to
one of the assistant editors for $50 GOO; and one
quarter of the Tribune, report says, was sold at
$4,000 A portion of the Tribune could not
be bought for less than equal to $780, 900 for
the whole, and the Sun is held equally high,
although sold originally to Beach for $4,000.
Prophecy VERIFIED.-sWar,"" ;"" said Mr.. Clay,
in his Raleigh letter, ''will be the consequence
of the annexation of Texas at this time in the
manner proposed""


This war"" says Mr.. Benton, ""is the conse-
quence of the annexation of Texas, at the time"
25_1847-07-21_p2_sn82014751_00513688210_1847072101_0194,Washington telegraph.,01,1847-07-21,p2,,,"OJ-Wilkinson, who poisoned the wed.
ding patty in Shelby county, Texas, not
long since, has been executed in due lOrm
under the lynch code, by the people."
4_1847-09-04_p3_sn82016488_00513688040_1847090401_0836,Arkansas intelligencer.,01,1847-09-04,p3,FROM THE WASHINGTON COUNTY MOrNTED-MEN.,"EN- RoUTE, no MILES From !

San Antonio, july 29th, lS47. {","san dn0nto, July S9th, lS4I.


My Dear Sir:--I hasten 10 send you few
lines. We are out upon the Prairies and en- JOY.
ing 10 the full extent all the pleasure (i pleasn re
there be) of life on the Prairos. The last few
days we have passed through the most beautiu!
country have ever beheld. 1t is extremely fer
tile. The country around exhibits the greatest
variety of scenery. The land is rich and the
water good. Stock waller in abundance. This
country is found south Of Trinity, in the region
of the Three 'rrinities. We struck it after we
crossed at Goddards BuAk. The country the
other side is not worth having. Every one was
struck with tho land, and appearance of the coun-
try. To see whole fields enclosed with cedar
rails, excited little wonder. The country
abounds in cedar. !, was here we struck the
Buffalo range. AS yet there has been none seen.
Irwin Adams killed fine deer yesterday, and |
enjoyed, for the first time, ga hunting feast"" To
man who has been living salt pork, piece
Of venison is favor, | tell vou-especiaIly if he
hungry. We have had saporal chases after
deer and wolves, but did no. join init is too
hard on the horse.


really wish had time to write you long let
ter; but time will not admit of it. 1t is generally
beloved here tina! Gen. Scott has been taken pri-
st,ner. /, cannot be. They may have dccoy ycd
him into the City, and then taken the advantage
of him; but lie is certainly too cautious for that |
presume you know all about il by this time.


The boys are all well, except three or four
John Thomas was sick, but is well now. Isaac
Blakemore has recovered so has you: townsInan
Peter Merrill. Merrill was quite sick, Cor week
or so. Edward Lynch Madison col has also
been sick, but is on the mend. There will not be
bot three reported 10 me the sick list this =
ming. Our horses are doi@s very well. The
word to ""mount' is given. must close. Give
my respects 10 all. In haste, yours,


p. S.-Did me ntion that It's most inferal hot?"
26_1847-07-02_p3_sn82003399_00415660947_1847070201_0221,The national whig.,01,1847-07-02,p3,,,"The Lynchburg Virginian, d, gives the lie
direct to the Washington Union about the au-
thorship Of the Scott proclamation. II says
that Scott is not the author of 1t, but that il is
production Of the Administration"
102_1847-07-02_p3_sn82003399_00415660947_1847070201_0221,The national whig.,01,1847-07-02,p3,,,"And Buena Vista.


Subject to the decision Of the Whig National
4"" Convention


wHIa NOMINATION


FOR GOVERNOR OF MARYLAND,
WILLIAM T.. GOLDSBOROUGH,


OF DORCHESTER COUNTY.





PEAcE.-There are rumors aaoat that ad-
vices have been received by The Executive OF
a peace having been concluded by Gen. Scott
with government Of his own setting up in
the city Of Mexico. We attach no credit to
them.


We fully agree with the Washington Union
of last evening on one point relative 10 the
forged Taylor letter, and that is, that the fusion
of the Wing and Democratic. parties, under
any administration is impracticable, and tha,
no man can be elected TO the Presidency, with
out occupying one or the other Of the opposing
political platforms


0u-The Common Council have appointed a
committee 10 consider and report the manner in
which the city Of Washington shall extend tc
Colonel May the hospitalities Of his fellow
citizens. A right aud proper movement this
The Lynchburg Virginian, d, gives the lie
direct to the Washington Union about the au
thorship Of the Scott proclamation. II says
that Scott is not the author Of 1t, but that il is
production of the Administration.


Mr.. Clay has written letter in which he ex
presses the belief that under the present tariff
when food becomes abundant in Europe, oul
manufactures will not be able TO compete with
European manufactures.


@a.. ~>-r~~--~>~.
D.. Montegut, late Mayor Of New Orleans, vii
run independent Democratic candidate for next
Congress from Mr.. sldeIl's old District Hope our
friends will put man on the track who will head
both him and the regular nominee.


I1B. F. Ross, Adju.ant Of the Arkansas Req
and who fought SO much like lion at Buena Vista
is q full blood Cherokee In dian. He was promoted
from the ranks to the Adjutancy.


We perceive that Mr.. w. C. Jones who lately
took to wife ono Of Colonel Benton's daughters has
sold out his interest in the New Orleans Mercury to
his late partner Mr.. G. r. Sessions.


Mr.. Edwards, Commissioner of Pensions ant
Mr. Marcy are receiving the blessing Of the purcha
sers Of soldiers bounty rights in New Orleans, for
refusing to act upon the seven or eight hundred Gu
ses Of this character, which have recently been re-
jected II MI. E. and Mr.. M. would only visit n
Orleans about this time they would realize state Of
feeling which they are not aware Of.





Alexander Declonet is spoken of as the Taylor
candidatefor the next Congress from Isaac E. Morses
district in Louisiana, Tip Morse voted to censure
the old Hero. and that has fixed his flint
\ The New Orleans National says that Mr.. Polk's
Mexican Tariff law first robs the merchants who
trade in his possessions in Mexic and then the petty
officials Of the Army at the several posts prevent
them from selling except by wholesale. This is all
in character with the Administration Like master
like man is the rule.


Mr.. Vice President Dallas has gone TO Schoo-
ley's Mountain TO spend the hot summer
months Of July and August.


s>~>--~~~--~-~r~~~-~~~~~~>


0o-The President. at last advices was Gre
laxing"" himself in sightseeing and hand shak-
ing in Boston. Gov. Briggs made satircal
speech to him about manufactures and the
Union, and Mr.. Polk swallowed il all as an
earnest compliment


The law course Of the University Of Louisi-
ana is to commence next November. Judge
Bullard takes the Roman Civil Law and its
connections Mr.. r. H. Wilde, the Law OF
Nature, &c.; Judge McCaleb, Admiralty Law,
Sc. and Randell Hunt, Commercial Law, SIC.
All capital teachers. these-possessing great
fuency Of speech. Bullard is said to be the
soundest man Of the whole four.


The recent Athens (Ga) Wing Senatorial
Convention resolved that the Guberaatorial
Wing State Convention ought to nominate
General Taylor for the Presidency. The reso-
luton was carried by acclamation.


Whether the General and the editor will
concur in their construction Of the real sen
tments and views"" Of the latter, may be, and
we already learn is, doubted by some.""- Gin
ci,u,ati Atlas.


These doubters have found out, by this time,
~ ~ IL"
5_1847-12-23_p2_sn82014359_00332895643_1847122301_0161,The northern tribune.,01,1847-12-23,p2,,,"The Scientific Expedition to the Dead Sea,
under 1t. Lynch, U. S. N, is for the purpose
of exploring that wonderful Lake, the most
extraordinary in the known world-and ascer-
tanning, if possible, whether it is of volcanic
origin or not, and to refute the position of
infidel philosophers with regard to its forma-
ton. The elucidation of this subject is a
desideratum to science, and would be most
gratifying to the whole Christian world. 1t
will be creditable to our country if the ques.
ton should be, at length, finally settled by its
science and enterprise. We infer from Lit.
Lynch's letter that the expedition has the
countenance of the Government Banner."
8_1847-12-18_p5_sn83045784_00415661575_1847121801_0771,Weekly national intelligencer.,01,1847-12-18,p5,,,"teen will have to be invaded, conquered, and occu-
pied by as many separate expeditions Each of
these must as soon as 1t has got possession of the
particular State-capita at which it had struck, fix
itself there, as local army of occupation, which
must remain there, to bridle-aye, and to govern
the entire department But, as the presence Of
few thousand troops Of an enemy in Philadelphia,
or at Annapolis, or in Richmond would not reduce
Columbia or Carlisle Pittsburg, Baltimore or
Frederick or Cumberland, Charlottesville or Lynch
burg or Staunton, to submission, so in the Mexican
States That of Mexico (area 30, ,4S2 square mes)
has population Of million, and several conside-
rabe towns besides the capital to be garrisoned
Puebla (the State, area l8,44l square miles) has
nearly an equal population and chief town of
$4,000 souls Guanajuato (area 6,225 square mies)
has town OF $4,000 souls, and general popula-
ton Of 100000; Michoacan (area 24,I66 square
miles, has collective population of 3s5,0OO, its
capital, Valladolid, l6,5OO; Jasco has, on an area
OF 1889 square miles, population of 100000,
and a capital, Guadalajara, of 10000; Zacatecas
has an area of 1850 square miles, and popula-
ton of 230,29S Oaaca, an area of 32,697 square
miles, and a population of 100000, with capital
| of $4,000. These examples may give some gene
raj idea of the populations and surfaces over which
these separate corps of occupation will have to act.
Now, to hold single town, though it should be the
capital, in each State would (as we have already
Intimately be of little effect towards reducing TO
submission half-barbarous State, whose remoter
districts, often defended by the widest mountains,
and made by national hate doubly untamable, arms
cannot reach nor any thing but extreme length of
possession bring under your sway.


In short, each State must, besides garrison in
its capital and lines Of stations connecting the force
there with their supplies, have detached corps fixed
at variety of points, where large population ex-
lists, to be by degrees awed into servitude. Ger
tainy you may, with single corps, seize each
State capital and chase away its Government but
what will that avail No more than it did to the
\ subiugaton of Virginia, when the deesabe Arnold
and his>army of deserters drove the Government
under Mr. Jefferson from Richmond to Charlottes-
vile. What will putting their Government to flight
signify to State fred with hatred of US, through
its whole revengeiul population What care they
for their feeble authorities their plague in peace
and no help in war! No: annihilate those au-
thortes if you will you are, in them, fighting but
i
mosty-still remains, too widely scattered to be
reached, too rancorous to be reconciled.


| And now, upon the Presidents present plan of
| conquest what must all this compel 1t is only
by attempting conquest in detail, by trying to sub


due and hold each separate Mexican State, that any
thing can be hoped And what does this plan inevi-
taby imply? Nothing short ofpouring upon Mexico
some twelve or fifteen armed divisions, each from
three to five, six or eight thousand strong and, by
maintaining an intimate and irresistible possession
Of all her territory, to weary out resistance, until
not merely submission (which would otherwise
cease the moment you Withdrew your forces) shall
come, but a permanent willingness TO wear youl
chains. Need we say that this is but scheme fo
fastening our dominion upon Mexico, by fastenn1e
upon o1rSelUeS a great and perpetual Standing
.3rmy2


HAVE WE IT NOT ALREADY, the people all uncon
scous, amidst the din of successful arms and the
talk of subjected empire-sounds that have ever
bewched the unthinking. not less under popular
Governments than under desposms For in both
alike the fatal glory of extended dominion has
captyated the giddy multitude, quite as sure TO be
pleased with the fancied addition to its own sway
and greatness, as with the less direct honor of its
masters. Our politicians greatly mistake, when
they suppose that it is peculiar ""Anglo-Saxon
or American passion which renders the worst part
of our people ravenous Of the possessions of our
neighbors. No. the real impulse is a far more
universal one-the appetite of dominion, the vanity
of military renown; which has made popular
the Chief or the King who led on his citizens or
his subjects to victorious enterprises against the
peace and the freedom Of other nations, no matter
at how sure a sacrifice of their own.


The people, then, blinded by this unreflectng
passion TO the plain Fact we ask again, Hare zoe
not already that acknowledged baae Of public
freedom, a large Standmg .2rmy, the mere phan-
tom of which has so often heretofore, when evoked
by conjuring demagogues, filled the popular bosom
with-supernatural terrors We HAVE 1T, as it is
f easy to show and the President and has Minis
terS are demanding a large and permanent addi
tion 10 IT.: yet neither fact seems, as yet to have
excited the slightest public alarm


What is the present Army of the United States
What as to permanency Of service9 What as to
numbers


1t consists of Regular troops, enlisted for five
wears or for the war and Of Volunteers nearly al"
26_1847-12-13_p2_sn82007022_00393342894_1847121301_0224,The Arkansas banner.,01,1847-12-13,p2,"Secretary of War. D. MERiwETIEEa, Esq Louisville, Ky.",,"HE SCIENTIFIC ExPEntvos TO THE DEAp SEA- under Lt. Lynch, U. :. x, is for the purpose of exploring that mys'eriotts and wonderful fake-the most extraordinary in the kno~n wotld--and ascer- taIniAg, 1T possible, whether it oF volcanic origin not and to refute The position of infdel philos phers wlth regard to its formation The plncida ton os t'is subject s desiderstum To science and would be most gratifying 10 the whole Christian world. II will be creditlbe to our country if the question should he 4 length finally settled by ifs science and en'erpused We infer from Lieut. Lyaeh's letter that the expedition has the counte nance of the government.

 IT In all the schedules presented by bankrupts, not an instance has ever been known where an .ten haS been set down as so much lost hy adver- Using"
11_1847-07-07_p2_sn82014751_00513688210_1847070701_0186,Washington telegraph.,01,1847-07-07,p2,,,"Errs rnE MuRprRER,-The Lynchburg
Republican publishes letter from a Viz.
ginia volunteer 10 bis friend in that city,
dated China, Mexico, April 10th, 1917,
from which we take the following extract,
giving the whereabouts Of Epcs' location.


""Shoud we be discharged in Mexico, a
large party Of us have formed the plan Of
purchasing mules and ponies and making
our way home through Texas and the inle.
rior ol Louisiana. This would really be
pleasure excursion. The petersblrgh
volunteers intend doing so any way, we un.
dersiand, aud will take San Antonio in
their route, near which place resides Mr..
cambridge Epes, whom they vow TO cap
turo and take back 10 Virginia. ! wish
lhey may succeed"
