"","filename","sentence","index","date","title","publication","filepath"
"1","AI_yao_extracted_1.txt","Another AI tool developed by the Mostafavi lab, called Elev-vision, determines the lowest floor elevation of",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"2","AI_yao_extracted_1.txt","structures using Google Street View images.",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"3","AI_yao_extracted_1.txt","For a city like Houston, with hundreds of thousands of properties, surveying each property with traditional methods",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"4","AI_yao_extracted_1.txt","is not feasible. This new tool significantly cuts labor and expenses and provides updated vital information on flood",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"5","AI_yao_extracted_1.txt","risk to properties.",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"6","AI_yao_extracted_1.txt","Response and Recovery",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"7","AI_yao_extracted_1.txt","Response efforts would ideally start before an event develops, but the fast-paced nature of a hurricane makes",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"8","AI_yao_extracted_1.txt","evacuations and supply distribution difficult to manage. The research team has developed solutions to this problem",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"9","AI_yao_extracted_1.txt","as well.",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"10","AI_yao_extracted_1.txt","""We leverage location-based data and graph analytic methods to determine the preparedness and evacuation",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"11","AI_yao_extracted_1.txt","patterns of communities before a hurricane or storm arrives and provide that in near-real-time to decision-makers to",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"12","AI_yao_extracted_1.txt","understand what areas have or have not evacuated,"" Mostafavi said.",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"13","AI_yao_extracted_1.txt","He added that not only can this new technology tell which areas have evacuated, but it also monitors which routes",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"14","AI_yao_extracted_1.txt","and destinations are being used the most. Getting accurate and timely evacuation information to decision-makers",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"15","AI_yao_extracted_1.txt","would greatly improve public safety before and during disasters.",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"16","AI_yao_extracted_1.txt","This tool can also determine a community's preparedness before a storm arrives. By analyzing patterns of human",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"17","AI_yao_extracted_1.txt","mobility and visitations to grocery stores, it can gauge how prepared a community is to weather the storm.",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"18","AI_yao_extracted_1.txt","Quick response efforts can also impact recovery after events.",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"19","AI_yao_extracted_1.txt","Rapid damage assessments in the wake of disasters are vital to making more resilient communities. This can lead",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"20","AI_yao_extracted_1.txt","to faster local and federal aid. The team's AI research tackles this issue by using satellite images and computer",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"21","AI_yao_extracted_1.txt","vision techniques to classify properties based on the extent of damage.",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"22","AI_yao_extracted_1.txt","Many of the models and tools Mostafavi's team developed were tested during or after previous events like",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"23","AI_yao_extracted_1.txt","hurricanes in Florida and Louisiana, and all performed very well.",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"24","AI_yao_extracted_1.txt","""AI technologies can improve resilience capabilities of communities at different stages,"" Mostafavi said. ""We see AI",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"25","AI_yao_extracted_1.txt","as the next defense barrier against disasters because it improves risk mapping, situational awareness and impact",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"26","AI_yao_extracted_1.txt","assessment.""",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
"27","AI_yao_extracted_1.txt","There may not be a long wait for these improvements since the team has already begun a start-up company and",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","/Users/robwells/Code/CompText_Jour/exercises/assets/extracted_text/AI_yao_extracted_1.txt"
